,Lateral_ID (i),Customer_ID (k),Customer Anomaly Status x(i)(k),N(i),Lateral Anomaly Status x(i),Affected Customers s(i),~y(1)(ik),~y(2)(ik),~y(3)(ik),~y(4)(ik),~y(1)(i),~y(2)(i),~y(3)(i),~y(4)(i)
0,1,1,1,3,1,2,0,0,0,1,0,0,0,1
1,1,2,0,3,1,2,0,0,0,0,0,0,0,1
2,1,3,1,3,1,2,0,0,0,0,0,0,0,1
3,2,1,2,40,2,26,0,0,0,3,0,14,0,56
4,2,2,2,40,2,26,0,0,0,1,0,14,0,56
5,2,3,2,40,2,26,0,0,0,1,0,14,0,56
6,2,4,2,40,2,26,0,0,0,1,0,14,0,56
7,2,5,2,40,2,26,0,0,0,5,0,14,0,56
8,2,6,2,40,2,26,0,0,0,4,0,14,0,56
9,2,7,0,40,2,26,0,0,0,0,0,14,0,56
10,2,8,0,40,2,26,0,0,0,0,0,14,0,56
11,2,9,2,40,2,26,0,2,0,2,0,14,0,56
12,2,10,2,40,2,26,0,2,0,2,0,14,0,56
13,2,11,0,40,2,26,0,0,0,0,0,14,0,56
14,2,12,0,40,2,26,0,0,0,0,0,14,0,56
15,2,13,2,40,2,26,0,1,0,0,0,14,0,56
16,2,14,0,40,2,26,0,0,0,0,0,14,0,56
17,2,15,2,40,2,26,0,1,0,2,0,14,0,56
18,2,16,0,40,2,26,0,0,0,0,0,14,0,56
19,2,17,2,40,2,26,0,0,0,3,0,14,0,56
20,2,18,2,40,2,26,0,2,0,4,0,14,0,56
21,2,19,2,40,2,26,0,0,0,0,0,14,0,56
22,2,20,2,40,2,26,0,1,0,4,0,14,0,56
23,2,21,0,40,2,26,0,0,0,0,0,14,0,56
24,2,22,2,40,2,26,0,0,0,2,0,14,0,56
25,2,23,0,40,2,26,0,0,0,0,0,14,0,56
26,2,24,0,40,2,26,0,0,0,0,0,14,0,56
27,2,25,0,40,2,26,0,0,0,0,0,14,0,56
28,2,26,2,40,2,26,0,1,0,2,0,14,0,56
29,2,27,2,40,2,26,0,1,0,3,0,14,0,56
30,2,28,2,40,2,26,0,0,0,2,0,14,0,56
31,2,29,2,40,2,26,0,0,0,1,0,14,0,56
32,2,30,2,40,2,26,0,0,0,1,0,14,0,56
33,2,31,2,40,2,26,0,0,0,4,0,14,0,56
34,2,32,0,40,2,26,0,0,0,0,0,14,0,56
35,2,33,2,40,2,26,0,0,0,3,0,14,0,56
36,2,34,0,40,2,26,0,0,0,0,0,14,0,56
37,2,35,0,40,2,26,0,0,0,0,0,14,0,56
38,2,36,2,40,2,26,0,0,0,1,0,14,0,56
39,2,37,0,40,2,26,0,0,0,0,0,14,0,56
40,2,38,2,40,2,26,0,2,0,0,0,14,0,56
41,2,39,2,40,2,26,0,0,0,4,0,14,0,56
42,2,40,2,40,2,26,0,1,0,1,0,14,0,56
43,3,1,0,16,0,0,0,0,0,0,0,0,0,0
44,3,2,0,16,0,0,0,0,0,0,0,0,0,0
45,3,3,0,16,0,0,0,0,0,0,0,0,0,0
46,3,4,0,16,0,0,0,0,0,0,0,0,0,0
